anio,mes,region,prov,BIOMASA,energia_gen
2020,12,7,19,True,0.0
2020,12,0,0,True,0.0
2020,12,7,19,True,0.0
2021,1,6,5,True,10.5
2021,1,6,5,True,16.7
2021,1,7,19,True,0.0
2021,1,1,4,True,0.0
2021,1,7,19,True,0.0
2021,1,0,0,True,0.0
2021,1,6,10,True,0.9
2021,1,6,10,True,0.0
2021,1,1,4,True,5.5
2021,1,7,19,True,0.0
2021,1,6,10,True,7.4
2021,1,7,13,True,5.5
2021,1,1,4,True,2.1
2021,2,7,19,True,0.0
2021,2,0,0,True,0.0
2021,2,7,19,True,0.0
2021,2,6,10,True,6.6
2021,2,7,13,True,0.0
2021,2,6,10,True,1.6
2021,2,1,4,True,5.0
2021,2,1,4,True,1.9
2021,2,7,19,True,0.0
2021,2,1,4,True,0.0
2021,2,6,5,True,18.5
2021,2,6,5,True,9.7
2021,2,6,2,True,1.8
2021,2,6,10,True,0.2
2021,3,7,19,True,0.0
2021,3,0,0,True,0.0
2021,3,7,19,True,0.0
2021,3,6,10,True,7.2
2021,3,7,13,True,0.0
2021,3,6,10,True,1.8
2021,3,1,4,True,5.6
2021,3,1,4,True,2.3
2021,3,7,19,True,0.0
2021,3,1,4,True,0.0
2021,3,6,5,True,16.4
2021,3,6,5,True,10.4
2021,3,6,2,True,2.6
2021,3,6,10,True,0.0
2021,4,7,19,True,0.0
2021,4,0,0,True,0.0
2021,4,7,19,True,0.0
2021,4,6,10,True,7.5
2021,4,7,13,True,0.0
2021,4,6,10,True,1.6
2021,4,1,4,True,0.4
2021,4,1,4,True,2.1
2021,4,7,19,True,0.0
2021,4,1,4,True,0.0
2021,4,6,5,True,21.4
2021,4,6,5,True,11.0
2021,4,6,2,True,2.1
2021,4,6,10,True,0.0
2021,5,7,19,True,0.0
2021,5,0,0,True,0.0
2021,5,7,19,True,1.8
2021,5,6,10,True,8.0
2021,5,7,13,True,1.8
2021,5,6,10,True,1.7
2021,5,1,4,True,3.2
2021,5,1,4,True,2.1
2021,5,7,19,True,0.0
2021,5,1,4,True,0.0
